lp,n,pk,pm,t,fmax,favg
2698,55,0.7,0.0001,70,1.8162750784424913,1.8143320904829046
2699,55,0.7,0.0001,80,1.848718124179943,1.8476372054170342
2700,55,0.7,0.0001,90,1.8472553897355595,1.845852474198605
2701,55,0.7,0.0001,100,1.869672872525866,1.8680378706597853
2702,55,0.7,0.0001,110,1.8485765665149378,1.847378654435075
2703,55,0.7,0.0001,120,1.8297678569193672,1.829011967722259
2704,55,0.7,0.0001,130,1.854160230648679,1.8539340396062771
2705,55,0.7,0.0001,140,1.836581052743018,1.8347973026068418
2706,55,0.7,0.0001,150,1.8400730688783076,1.8387099122023256
2707,55,0.7,0.0005,50,1.8491681582641246,1.8411867630185648
2708,55,0.7,0.0005,60,1.8618493494276946,1.8547094003189417
2709,55,0.7,0.0005,70,1.8414556578673316,1.8338090010346786
2710,55,0.7,0.0005,80,1.8422777113934796,1.8372259533223476
2711,55,0.7,0.0005,90,1.8226090437115323,1.816906950412514
2712,55,0.7,0.0005,100,1.85280791916424,1.8465645072011605
2713,55,0.7,0.0005,110,1.8376264779653426,1.831582096821191
2714,55,0.7,0.0005,120,1.8359513598401307,1.828172654229794
2715,55,0.7,0.0005,130,1.8310420831224679,1.827018949867322
2716,55,0.7,0.0005,140,1.8312858799388811,1.825971483209818
2717,55,0.7,0.0005,150,1.8587580382597242,1.8502173704687033
2718,55,0.7,0.001,50,1.8461486352814251,1.8247542682961622
2719,55,0.7,0.001,60,1.8211011374312207,1.7988828194538768
2720,55,0.7,0.001,70,1.8318385964072335,1.8155122907589456
2721,55,0.7,0.001,80,1.8586372422852406,1.8459037039611979
2722,55,0.7,0.001,90,1.8414142664985393,1.8279711566064
2723,55,0.7,0.001,100,1.8429658222444356,1.827181215391178
2724,55,0.7,0.001,110,1.850136576629217,1.8375864514896214
2725,55,0.7,0.001,120,1.8603529256030367,1.843438775451842
2726,55,0.7,0.001,130,1.8460537737835931,1.8301190513476866
2727,55,0.7,0.001,140,1.8220641258496122,1.8070598046932664
2728,55,0.7,0.001,150,1.8592049703879574,1.8469989032983787
2729,55,0.7,0.005,50,1.8690462661712777,1.7493831244583464
2730,55,0.7,0.005,60,1.8669025272634707,1.754193100788838
2731,55,0.7,0.005,70,1.8773062384764905,1.7640804411132265
2732,55,0.7,0.005,80,1.8526152180742976,1.7382546872660853
2733,55,0.7,0.005,90,1.8779394487967105,1.780554170004778
2734,55,0.7,0.005,100,1.8783716128364174,1.7722818259843358
2735,55,0.7,0.005,110,1.8792544713769348,1.7826637157507286
2736,55,0.7,0.005,120,1.8858548624918472,1.7912930729634826
2737,55,0.7,0.005,130,1.8860745233212353,1.785073260276892
2738,55,0.7,0.005,140,1.8750355698942502,1.784802780193961
2739,55,0.7,0.005,150,1.8822819055017534,1.7817354445608495
2740,55,0.7,0.01,50,1.8798196740445576,1.643000577685267
2741,55,0.7,0.01,60,1.9070582927825734,1.6683589397815564
2742,55,0.7,0.01,70,1.9132222054937664,1.6976691090937326
2743,55,0.7,0.01,80,1.9194296490476392,1.6944068702383919
2744,55,0.7,0.01,90,1.9137560637620057,1.684300240041538
2745,55,0.7,0.01,100,1.89506083674326,1.6681024505112136
2746,55,0.7,0.01,110,1.9178199956352093,1.6805321410901102
2747,55,0.7,0.01,120,1.9467561615146882,1.716150543823447
2748,55,0.7,0.01,130,1.9315581307993512,1.6990644632496157
2749,55,0.7,0.01,140,1.9356211393573226,1.7212943597156996
2750,55,0.7,0.01,150,1.9488414824763114,1.7220691483598747
